questionType,question
yes/no,is this compatible with kenmore 2203980?
yes/no,Will this work with sears 758 144521
yes/no,can i still use dryer until its fixed
yes/no,Is this the same size as the A122?
yes/no,does it have a turntable?
yes/no,Will this Whirlpool crisper pan (part no. 2188656) fit my Kenmore Coldspot refrigerator (same part no.)?
yes/no,Will this fit kuds03ctbl2
yes/no,Will this work for LFX31945ST
yes/no,will lthis fit a majic chef 2002 (3 BURNER) STOVE
yes/no,Will it fit my Maytag MEC5430BDB cooktop?
yes/no,"I have a Frigidaire FEF365BGWC oven, I understand the heating element that I need is part # 316075104. Will this ERB5103 Bake Element work for me?"
yes/no,does this fit my Kenmore elite 11085872401?
yes/no,I'm looking to install this under a wooden bar. Can the taps be removed/moved to the top of the bar with just the tubing leaving the kegorator?
yes/no,"will this work with whirlpool GS6SHEXNS02, my main door does not swing shut by itself. Will this kit work?"
yes/no,Will this work with sears 758 144521
yes/no,Are the doors reversible?
yes/no,Is their an attachment we can buy? We have 10ft ceilings.
yes/no,Is there a stainless steel version?
yes/no,"Is chimney on edge of back side? From the picture, it looks like the chimney is not at the center. A side look picture would be very helpful."
yes/no,Does this switch fit the Kenmore Electric Range 79097453804?
yes/no,will it fit in model .#wtw7340xw0 ser.#c04272505
yes/no,Will tihis rack fit my GSD4260JOOSS dishwasher?
yes/no,does it fit model # JSI26
yes/no,Will it fit a whirlpool model number wtw4950xw3
yes/no,Can i use this part for amana nfw7300ww00 ?
yes/no,Is this a replacement/better valve than the WR57X10032
yes/no,Can the door open to the left
yes/no,"Can the three bins be separated? Also the dimension listed as 16X10X4 but the answer below says the bottom measures 19 long and 3.25"" wide."
yes/no,"Will the 3 pack water filters work in a Kenmore Elite, French doors frigerator, and is there free shipping?"
yes/no,Does the control panel include a timer as well as a clock? thanks.
yes/no,"Are these filters ""charcoal"" filters? Don't want to assume anything."
yes/no,Will this work with a Kenmore model# 11068322700 ?
yes/no,does it fit Whirlpool dryer WED9400SW
yes/no,Will this be easy to install in a 2002 model side by side kenmore refrigerator ?
yes/no,Does this model have the soft close crisper drawers?
yes/no,Does the oven come with a propane conversion kit?
yes/no,does it fit Vicks V3900 humidifier?
yes/no,Does it come with propane converter?
yes/no,will it work on glass cooktop ? I want to know from the manufacturer not just some one who thinks so
yes/no,will it not work on a stainless steel dishwasher?
yes/no,I got this fridge in jul 2011 n the blue display panel is off in certain sectors! Do u have this problem too?
yes/no,Does this machine have a limit of how hot the water can be? (The Basecamp washer instructions say the water used should not exceed 113 F.) Thanks
yes/no,Will this work on jenn air down draft model c103?
yes/no,will it fit model ghw9150pw0?
yes/no,can this unit be for a 10ft ceiling height?
yes/no,Will this work on Premier stove top?
yes/no,Can this be used in other brand humidifiers?
yes/no,Has anyone had trouble with the Frigidaire Gallery smooth top slide in range. When I turn on the oven the broiler lights and causes a fire in the ove
yes/no,Can this be installed on outside wall? I am planning to install on wall that is 4 feet away from outside wall.
yes/no,Can this be used in a room you want to be used as a root cellar?
yes/no,Are the dimensions H/W/D?
yes/no,does it have an agitator
yes/no,Will this Bosch model SHX46A05UC/14?
yes/no,Can I upgrade drip tray to one that has a drain?
yes/no,can this fit whirlpool model #8053621 240v-1200w (2)
yes/no,"will it work as a replacement for Maytag Model CDE852 Jenn Air electric range? Approximate open size of hole is 18 /2 X 10"""
yes/no,can i use it for 7ft ceiling?
yes/no,Does this product come with the install kit?
yes/no,will this work on model GLER341CC0 Frigidaire Dryer?
yes/no,Can I purchase an extended warranty for this refrigerator? I'd be interested in 5 year coverage.
yes/no,Will this fit myKUDI02IRBS1 dishwasher?
yes/no,can I replace Badger 1 1/3 with a Badger 5 1/2 - with same connections?
yes/no,Can an indoor vent kit be used with this?
yes/no,I have a GE PSC23SGRB. Will this part fit my model?
yes/no,Is this filter a replacement for 38442?
yes/no,Does it work with the InSinkErator STS-00 Dual Outlet SinkTop Switch?
yes/no,WILL THESE BAGS FIT A KENMORE TRASH COMPACTOR?
yes/no,does the wonder washer spin clothes
yes/no,Can I install it myself?
yes/no,I know the washer has a manual override where you hold the knob so it will fill to the top. Do you have to hold the knob to fill on rinse too?
yes/no,Does it have the bird catcher mesh? Picture doesn't show. Thanks
yes/no,Has anyone tried these to hold 12 ounce plastic coke bottles? Those things just won't stand up on wire shelves...
yes/no,"How long is the chimney, I have 9 foot ceilings. Is the exhaust tubing plastic?"
yes/no,I have a GE side by side Model #GFSS6KKXASS wjhich has a samsung ice maker Model IMC701. Will this ice maker fit that?
yes/no,Would these work for whirlpool model ss25hfxls00
yes/no,"The model number in the Product Info is SGF-M10, however on the box and image the model number is stated as SGF-M9. Is xx9 &amp; a xx10 the same product?"
yes/no,Is this for a 36 inch over the range microwave? The dimensions in the description do not show it being 36 wide.
yes/no,Does this fit the Liftoff revolution pet? (My original says size 8.)
yes/no,will this heater element fit a maytag dryer model de612
