questionType,question
yes/no,Does this system filter gaillardia?
yes/no,Can you get a gas dryer instead of electric
yes/no,I have a 2010 maytag centennial washer w10140921 and need a pump.can you tellme whichpart Ineed?
yes/no,CAN YOU JUST PLUG IT IN ONCE IT IS SEATED?
yes/no,does this replace a thermadore water filter cartridge # 00750673
yes/no,Is it the same shape as this key? http://www.amazon.com/Whirlpool-Part-...
yes/no,Will this work on Hotpoint RGB745BEHFWH?
yes/no,"Hi, can you give me the shipping rates for France please ?"
yes/no,Does this fit lg model dle2516w
yes/no,"How many racks come with this oven, Can more racks be ordered?"
yes/no,I have a wall switch. My current insinkerator has a cover that will activate the unit.Will the cover control plus unit operate the same way ?
yes/no,Description doesn't note the hoses are included. Are they included in this kit?
yes/no,Is anyone having a problem with water temperature? Our machine only gets lukewarm even on the hot setting. Sensors replaced no help.
yes/no,Will this fit a GE drier model no. DWSR483EG8WW?
yes/no,Is this a brand new unused part (Whirlpool Dishwasher Fill Valve W10158389)?
yes/no,Is there any such thing as a dual fuel range with gas and electric rather than gas and convection?
yes/no,Do these cells fit in the aos 7144?
yes/no,can this 12 foot hose be cut to 10 foot
yes/no,do you have deforst?
yes/no,Can an indoor vent kit be used with this?
yes/no,Is the silverware tray easily removable to enable putting in the dishwasher to help prevent mold from pooled water?
yes/no,"is this ""Tall- 18"" drawer unit?"
yes/no,does it include outside handle
yes/no,Will this fit Estate by Whirlpool MOD. TES325MT 4 SER. RU3410209 ? Thank you
yes/no,does this unit come with a keg coupler?
yes/no,are they stackable
yes/no,Had Whirlpool washer for 2 yrs.-piece of junk. Is LG any better than Whirlpool high efficiency washer with direct drive?
yes/no,When I do a search for 197D2303G080 this part comes up. Is it compatible?
yes/no,Will this work on a WM2501HVA?
yes/no,Will this work on a Kenmore Elite HE3t Washer? (Model #11045966404) Thanks!
yes/no,Will this fit a vintage SL1500?
yes/no,"Hi, I'm interested in this product. Can it be used over induction stove top as an adapter plate for non-induction cookware? How's the transfer of heat"
yes/no,Is this washer/dryer combo compatible with gas hookups?
yes/no,will this fit maytag bravos model mvwx700xw1
yes/no,Will this fit for a Whirlpool duet GHW9100LW1?
yes/no,"Is Style A (3 6inch, 1 8 inch) for Kenmore stoves?"
yes/no,Will it replace the GSWF filter?
yes/no,Is it frostfree?
yes/no,is this a certified ge part?
yes/no,Will it work with model number DU1014XTX03?
yes/no,Will this belt fit DG412 Maytag Dryer
yes/no,Is this compatible with Frigidaire model FRT18HS6JW2?
yes/no,can you pull the oven rack out by using the rack guard?
yes/no,Does the extended warranty cover the set or do you have to buy one for both the washer &amp; dryer? Did you buy the extended warranty &amp; feel it's worth $
yes/no,Is the power cord included ? Thanks.
yes/no,does this have a light
yes/no,Can I see a photo of backside of knob? Need to know if opening is same as what it is replacing.
yes/no,does a speed queen dryer with a drop-down door exist?
yes/no,does the ice stick together after i put it in the freezer?
yes/no,does it fit the kitchen aid coffee pot model kcm140?
open-ended,can you tell me what the dimensions are for the screw holes are they 3 15/16 or 3 1/2 etc etc
open-ended,Same as Thermador REPLFLTR20
open-ended,Hi I have a Frigidaire GCEH1642FSO front load washer/dryer comboI am looking for the Washer Tub bearings for this model Thanks Rene
open-ended,205c139
open-ended,What beer types does it take? Different kegs have different adapters. I want one that will dispense Amber Boch
open-ended,What is the warranty on this hood fan?
open-ended,"I got this cooktop recently, but there is about 1/2 inch gap between the cooktop surface and the control knobs...is this normal?need to force it down?"
open-ended,I have a Kenmore Model # 362.75875690 Will this part fit? Thank you.
open-ended,I need a tank only for Serial Number 96216161886 water heater by atwood. _ also GEA 6E 4D number - 1991
open-ended,my danby washing machine goes through all cycles except spinning?
open-ended,"what is the installation distance from top of the range to the botton of the hood range? 32"" seems high to me please confirm. What happen if I use les"
open-ended,"Do you think buying 2 year protection plan for this is necessary or not? If not buying it, is the product automatically cover 1 year ?"
open-ended,Can I fit a large pot or pan in this? And would it clean it good? It's alright if I have to put the pot or pan in alone for the wash.
open-ended,dos this come with everything you need to install with 9 foot ceiling?
open-ended,proper re-placement of filter and fill up?
open-ended,"What is the minimum clearance between bottom of hood and top of burner? Just returned another brand that required 30"""
open-ended,"I want to buy now, but im in Peru. Shipping company is asking to me the dimensions of the box where the kit is packed. I await your prompt res"
open-ended,"vertical window vent kit? listed Haier AC-3940-81K window exhaust kit, will this fit?"
open-ended,Is this the same as a 316455410R ? Will it service a frigidaire FGF337ASA stove?
open-ended,"Actual length? 23"" or 19""?"
open-ended,i took my battery pack camping and it worked great for 3 days but on the forth day it wouldnt take a charge.what could have gone wrong
open-ended,i replaced my GXRLQR filter but no water comes out. how do i find out what went wrong?
open-ended,"What is the length of the rack? The product description says 35 in. but mine are only about 24 in. However, the model number matches up."
open-ended,We put in a filterAce+ filter on our Samsung French door RF266AEWP model. Now we cannot remove it. We bought it in Jan.2012. Now what? Samsung will not cover damage incurred by using generic filters.
open-ended,"Does the stand itself have brackets to attach the stand to the wall? And if so, where exactly are the located?"
open-ended,After we trimmed the chimney it left a black line of melted material around the edge. Tried to remove with goo gone and it won't come off. help!
open-ended,"HELP:)Minimum height it can be installed? I have 46"" from ceiling to stove top. Can metal worker shorten the chimney or remove one section of chimney ? :) Thanks"
open-ended,"The bottom of my bin has a number of DA63-05391. It measures 13.5"" x 9"". What is the replacement number that I need?"
open-ended,jeans
open-ended,"I have an Avanti portable washer. I need to replace the drain hose. Does anyone know if this fits? I don't have the measurements right now, but I imagine these are quite standardized. I can't seem to find it on Avanti's site..."
open-ended,COLORS?
open-ended,Just bought the stainless version of this kegerator - what is the loose metal plate that came with it inside?
open-ended,"What are the dimensions of this item? Height, width, depth, and weight?"
open-ended,what are the inside and outside diameters and height of these rings?
open-ended,I'd like to convert the beer line for use with corny kegs. What size barb fits the beer line?
open-ended,how does the drain connect
open-ended,What size is this ?
open-ended,Can you bake cookies and muffins in the smaller oven or is the infrared grilling always on?
open-ended,very noisy on last spinning cycle????
open-ended,"The output socket for 100V seems to be Europe standard, while Japan plugs are US standard. How it works with Japanese appliance?"
open-ended,Why does amazon charge so much?
open-ended,what is the difference between honewell HC14 and HC14N filter?
open-ended,burner plates for electric glass cooktops? Can burner plates be used for electric glass cooktops?
open-ended,What does semi-integrated mean?
open-ended,Anyone know if this can be shipped to Australia??
open-ended,Does this fit MAH5500BWO? And does it come with the Spring?
open-ended,how long is the cord
open-ended,"Anybody got an idea why this product is so high in cost, like other reviews said, it's just plastic and glass"
open-ended,what size halogen bulbs dose it take and which filters do I nee d to purchase?
open-ended,Are there two cords or one? What type of cord/cords?
yes/no,Does this pin cushion contain any emery?
yes/no,will this work over a plastic model car that was painted with enamel? You can't use laquer cause it will wrinkel the paint job.
yes/no,Can you write on it with chalk?
yes/no,Would this work for blacking out windows?
yes/no,"I would like to make burlap garland for my Christmas tree this year. For those who have purchased this item, do you think it will hold up to the task?"
yes/no,Hello all! Can I use these bottles to dispense melted chocolate and fruit sauces to pour over desserts?
yes/no,instead of using chalkboard it says you can put photos...does a glass front come with it?
yes/no,could beads be attached to it for a costume?
yes/no,Is the adhesion very strong when used to bond leather on leather?
yes/no,I have a Bernina 930 machine. Are these bobbins compatible with this model?
yes/no,Is this dishwasher safe? (Ex: adhered to a dishwasher-safe glass or mug)
yes/no,Can you speed up the drying process by drying at low heat (175-200) in an oven?
yes/no,Did anyone use this to remove the anti-reflective coating from the high index 1.71 -1.74 lenses?
yes/no,Is this fabric washable ?
yes/no,"I may be stupid for asking this question, but here goes. If you wound this on a spool, could you use it on a machine to embroidery with? Just asking"
yes/no,"Can I use this to make some tubes for storing stuff,are they sturdy enough."
yes/no,Does this foot work on the 7630 Janome?
yes/no,IS THE SIZE OF #43 A 5 INCH HALF HEXAGON
yes/no,Are these sew on?
yes/no,Does this one work in the Grand Calibur?
yes/no,Can this operate on 220v? I'm buying it for use in Africa and our standard voltage is 220v.
yes/no,Is this sold by the yard ????
yes/no,"I need a device to hem jeans and men's pants, as I always have to pay $8-12 per pair each time I get new ones. Is this a permanent solution"""
yes/no,Would this paper work for wrapping gifts
yes/no,Would it adhere to glass?
yes/no,Can you create a monogram using this software (with the middle letter being larger than the two outer letters?
yes/no,Is the dry erase board magnetic?
yes/no,Can you use to decorate acrylic ornaments?
yes/no,does it rotate 360 degrees
yes/no,does this come with the modeling clay?
yes/no,Do these work on walls inside the home?
yes/no,are there 192 pages that are front and back?
yes/no,does Uchida make this size opening in a square?
yes/no,Does it have a pocket of any kind on/in it?
yes/no,Will this work with the Singer featherweight 221?
yes/no,Is the foot pedal included?
yes/no,Ive seen this on youtube videos to apply to face to make masks! Is it safe to use these to do so?
yes/no,is this clock silent?
yes/no,Do you have matching backing fabrics available for the kits?
yes/no,Does the resin heat up as it hardens? I'm looking to cast live flowers in this and don't want to cook them.
yes/no,Is this 2 mm thick ?
yes/no,Does this clay contain sulfur?
yes/no,I ordered this product from a different seller and the pages were not lined though it said they were. Can you guarantee that this notebook is ruled?
yes/no,"If I get the extra punch heads to do 7 holes, will the pattern adjust to my daytimer folio size planner?"
yes/no,Can you recommend a cutter for this paper? Thank you
yes/no,I am making a sconce and need a film to diffuse the light so you don't see the bulb. Is this heat resistant and opaque-ly transparent?
yes/no,Will it fit a Brilliance 6199
yes/no,"Can this vellum be printed with a Bizhub C20 laser printer? Paper type options are transparency, thick 1 (91-150g/m2) and thick 2 (151-210 g/m2)."
yes/no,can this work with the entrepreneur pr-650 (6 needle machine)
yes/no,Will Windsor Newton Half Pans fit into this box?
open-ended,What are the dimensions of the bags? I have to know if my machine will fit before I buy this.
open-ended,What are the color numbers and names of the markers in this set
open-ended,"Hi. Can you please tell me what the colors are, and whether black is one of them? Thank you, Lynne"
open-ended,how big is the tshirt area
open-ended,microwave safe?
open-ended,Anybody tried this as a makeup vanity? Are the storage cubbies large enough to hold little baskets?
open-ended,"It says it measures 15"" but what is that? Circumference? Diameter? and from what point? Is that from each out edge of the numbers or the hands?"
open-ended,What kind of amps breaker does this kiln take? Thank you
open-ended,"Is this good for gluing pave crystals onto a ring? Also, does it dry clear?"
open-ended,Can this be used to repair cups or plates? Would they still be usable?
open-ended,Has anyone ordered these gem/bead strands from AllHeartDesires? I think they are in China. How long did it take for the order to arrive from the time you placed the order? Thank you.
open-ended,Do they come with the traditional metal clamp to secure? If not are they available?
open-ended,"I would like to use this to cover windows in my classroom, do you know if it can be used for faux stained glass?"
open-ended,has anyone purchased this recently? Did you receive the updated version with the thumb and forefinger guides?
open-ended,How far away can it cut from the edge of a piece of paper? I'm looking to have the edge of the circle be 3/4 inch in.
open-ended,About how wide are the individual sections inside (for each spool)? Just trying to get a feel for how many I'd need to purchase to fit all my spools.
open-ended,How is this item packaged please?
open-ended,Will this press lock into position once down or do you have to manually hold it down?
open-ended,How many pegs does each size have?
open-ended,how many square feet does it cover?
open-ended,What is used to color this moss that particular shade of green?
open-ended,hello someone could tell me if I can work with these stamps on fabric
open-ended,Is this bag suitable for airline travel? Will it and contents (with extra padding) survive baggage handling?
open-ended,I have a Mac and am having difficulty loading this software. Any suggestions
open-ended,How many yards in each spool?
open-ended,What size are these spools -- my Brother 270D has an autothread cartridge - will these fit?
open-ended,"Do you know if the caddies that fit 4 pans are available anywhere separately? I have the case, but I don't have the caddies."
open-ended,"After reading reviews,i am curious,These wicks are Not for Soy Wax????I ordered them for soy wax!!!I also see they don't stay lit? I am hoping when they arrive with my Soy candle making kit,i am able to use them.Has anyone had Success with these using..."
open-ended,Is thread polyester or Rayon?
open-ended,what are the hoop sizes. I am sure I am just missing it somewhere on the ad I have a Babylock Ellure Plus
open-ended,what size cutting pads? Do I still need the magnetic platform too?
open-ended,Which stitching is visible on top when sewing the coverstitch? The two straight lines or the coverstitch?
open-ended,how much watercolor os in the tubes?
open-ended,I have this machine but the pedal foot is broken Do you sell this?
open-ended,"No matter how much force i use my crimp beads end up moving, how do i get them to not move after i crimp them"
open-ended,"Is the paper truly transparent or is it ""frosty""?"
open-ended,"How long does the mat last? Also, are there any other additional parts or replacements needed as time and wear continue?"
open-ended,what colors are they ?(be specific)
open-ended,Are you able to pick a pattern to quilt a top-stitch on a quilt? And does this machine accept a feed such as USB or memory card for additional designs to quilt or embroider? Thank you!
open-ended,How difficult is it to go from a serger to a cover lock with this machine? I have heard that it is a real pain to swap the combo machines over??? TY
open-ended,How small are the letters on the Brother Embroidery Card SA298 Alphabet?
open-ended,willl these fit a Brother CS-6000i?
open-ended,"I recently bought a Singer serger 14SH654 from the ""other"" website but it came with the wrong cord. While looking at the ""other"" website for the correct cord and foot pedal control, I found out there are two types; a one speed only and a variable speed..."
open-ended,quilting
open-ended,what's the inside high of each drawer?
open-ended,How do I get the end of the thread started? There is a tail sticking out from the middle of each spool but i can't get it to unroll.
open-ended,Is the head removable. How easy is it to put together? Do you need to use tools to put it together?
open-ended,"I would like to purchase 15 yards of this material..if I do, will it come in one continuous run, or will it be 15 pieces??"
open-ended,what is the weight of the compressor/machine?
open-ended,"I bought the 42 x 30 inch mat I haven't being able to use it as being packed in half for shipping and unable to flatten it, what can I do to fix it"
yes/no,"One of the reviewers in August said the hardware was all stainless, was the mounting bracket upgraded to stainless?"
yes/no,will they fit a 2014 f150 stx
yes/no,Would these make for good auxiliary reverse lights?
yes/no,"have low profile tires (18)"" on a 2013 veloster turbo.. very hard to keep from scratching the wheels ..will these work"
yes/no,will this work on my toyota camry 2007?
yes/no,will this item replace nozzles on 1988 jaguar van danplaus?
yes/no,Can this gauge set be used with R-22 refrigerant?
yes/no,"I need one for a 1999 1500 full size, will this model work?"
yes/no,Does this use the bracket for the stock kickstand? (The stock bracket mounts to three metal tabs welded to the frame which keep breaking)
yes/no,"Hi, would these lights be suitable for UK car?"
yes/no,Will these lights draw enough amperage to trigger the flasher circuit?
yes/no,Amazon says this will work with 2012 Chevy Silverado...does it really?
yes/no,Is the battery of the sensor replaceable?
yes/no,can this scaner do dodge cars. i know dodge is in the chrysler family but most tell you dodge on there own if it will work.
yes/no,can I get this tire in size 225 50r 17
yes/no,I'm planning to attempt a bit of a retro-fit with this product. Can any one help me by letting me know how long the light-mount tabs are? Thanks!
